id,name,industry,job_role,skills,primary_skill,experience_years,experience_level,interests,primary_interest
user_1,Professional_1,Data Science,Designer,"TensorFlow, Machine Learning",TensorFlow,18,Senior,AI,AI
user_2,Professional_2,Marketing,Data Analyst,"HubSpot, Content Marketing, SEO",HubSpot,11,Senior,"Cloud Computing, EdTech",Cloud Computing
user_3,Professional_3,Data Science,Backend Developer,"Python, Machine Learning, Statistics, TensorFlow",Python,2,Entry,Open Source,Open Source
user_4,Professional_4,Technology,Data Analyst,"Node.js, React, Docker",Node.js,14,Senior,"Open Source, EdTech",Open Source
user_5,Professional_5,Finance,ML Engineer,"Python, Excel, Financial Modeling",Python,17,Senior,"AI, Leadership",AI
user_6,Professional_6,Data Science,ML Engineer,"SQL, R, Statistics",SQL,12,Senior,"Open Source, Startups",Open Source
user_7,Professional_7,Marketing,Software Engineer,"Content Marketing, Google Analytics",Content Marketing,7,Mid,"Cloud Computing, Leadership",Cloud Computing
user_8,Professional_8,Technology,DevOps Engineer,"AWS, Docker, React",AWS,7,Mid,"Blockchain, FinTech",Blockchain
user_9,Professional_9,Healthcare,Software Engineer,"R, Python, SQL, Clinical Research",R,13,Senior,Leadership,Leadership
user_10,Professional_10,Data Science,Business Analyst,"SQL, Python",SQL,6,Mid,Cloud Computing,Cloud Computing
user_11,Professional_11,Healthcare,Data Scientist,"SQL, SPSS, Clinical Research",SQL,5,Mid,"Startups, AI",Startups
user_12,Professional_12,Cybersecurity,Backend Developer,"Kali Linux, Python, Penetration Testing, Network Security",Kali Linux,0,Entry,Cloud Computing,Cloud Computing
user_13,Professional_13,Healthcare,Business Analyst,"SQL, R, Health Informatics",SQL,18,Senior,"Open Source, Cloud Computing",Open Source
user_14,Professional_14,Technology,Backend Developer,"AWS, Docker, Node.js",AWS,16,Senior,Leadership,Leadership
user_15,Professional_15,Cybersecurity,Software Engineer,"Kali Linux, Network Security",Kali Linux,11,Senior,"Cloud Computing, AI",Cloud Computing
user_16,Professional_16,Data Science,Data Scientist,"SQL, Python",SQL,15,Senior,"Open Source, Leadership",Open Source
user_17,Professional_17,Education,Designer,"Data Analysis, Curriculum Design, Communication, Python",Data Analysis,19,Senior,"Leadership, Cloud Computing",Leadership
user_18,Professional_18,Cybersecurity,Software Engineer,"Penetration Testing, Python, Kali Linux, Network Security",Penetration Testing,9,Senior,Startups,Startups
user_19,Professional_19,Technology,DevOps Engineer,"Java, Node.js",Java,15,Senior,"Cloud Computing, Leadership",Cloud Computing
user_20,Professional_20,Cybersecurity,Designer,"Network Security, Kali Linux, Penetration Testing",Network Security,2,Entry,Startups,Startups
user_21,Professional_21,Cybersecurity,Frontend Developer,"Penetration Testing, Kali Linux",Penetration Testing,15,Senior,"Open Source, Cloud Computing",Open Source
user_22,Professional_22,Education,Product Manager,"Curriculum Design, Communication, LMS",Curriculum Design,1,Entry,Startups,Startups
user_23,Professional_23,Healthcare,Designer,"SPSS, Health Informatics, Python, SQL",SPSS,13,Senior,Cloud Computing,Cloud Computing
user_24,Professional_24,Design,DevOps Engineer,"Adobe XD, CSS, HTML, Figma",Adobe XD,0,Entry,"Open Source, Blockchain",Open Source
user_25,Professional_25,Healthcare,ML Engineer,"Clinical Research, Health Informatics, SQL",Clinical Research,1,Entry,"Blockchain, Open Source",Blockchain
user_26,Professional_26,Finance,Business Analyst,"Bloomberg, Financial Modeling, Tableau",Bloomberg,6,Mid,FinTech,FinTech
user_27,Professional_27,Design,Product Manager,"HTML, Figma, Sketch, CSS",HTML,18,Senior,AI,AI
user_28,Professional_28,Design,Software Engineer,"Adobe XD, CSS, Figma",Adobe XD,7,Mid,Open Source,Open Source
user_29,Professional_29,Cybersecurity,Designer,"SIEM, Python, Network Security",SIEM,9,Senior,"FinTech, Leadership",FinTech
user_30,Professional_30,Marketing,Backend Developer,"Google Analytics, Content Marketing",Google Analytics,0,Entry,EdTech,EdTech
user_31,Professional_31,Technology,Business Analyst,"Python, Java, Node.js, React",Python,15,Senior,Blockchain,Blockchain
user_32,Professional_32,Technology,Designer,"AWS, React",AWS,3,Mid,Startups,Startups
user_33,Professional_33,Education,Data Analyst,"Curriculum Design, Communication, Python, Data Analysis",Curriculum Design,0,Entry,"Open Source, FinTech",Open Source
user_34,Professional_34,Cybersecurity,Data Analyst,"Python, Penetration Testing, Kali Linux, Network Security",Python,18,Senior,Open Source,Open Source
user_35,Professional_35,Education,Data Analyst,"Communication, Curriculum Design",Communication,16,Senior,"AI, Startups",AI
user_36,Professional_36,Healthcare,Frontend Developer,"SPSS, R, Health Informatics, Clinical Research",SPSS,10,Senior,Startups,Startups
user_37,Professional_37,Finance,DevOps Engineer,"Tableau, Financial Modeling",Tableau,6,Mid,"Cloud Computing, Startups",Cloud Computing
user_38,Professional_38,Marketing,Business Analyst,"HubSpot, Social Media",HubSpot,16,Senior,"Cloud Computing, FinTech",Cloud Computing
user_39,Professional_39,Education,Frontend Developer,"Data Analysis, LMS, Python, Curriculum Design",Data Analysis,13,Senior,Leadership,Leadership
user_40,Professional_40,Healthcare,Frontend Developer,"R, Python, SPSS, Clinical Research",R,6,Mid,EdTech,EdTech
user_41,Professional_41,Marketing,Data Analyst,"HubSpot, Content Marketing, Google Analytics, SEO",HubSpot,11,Senior,Startups,Startups
user_42,Professional_42,Finance,Backend Developer,"Python, Tableau, SQL",Python,7,Mid,"Cloud Computing, EdTech",Cloud Computing
user_43,Professional_43,Technology,Designer,"Docker, AWS, Java",Docker,9,Senior,"Leadership, Cloud Computing",Leadership
user_44,Professional_44,Education,Backend Developer,"LMS, Communication",LMS,12,Senior,"Startups, Cloud Computing",Startups
user_45,Professional_45,Marketing,Data Scientist,"Google Analytics, Content Marketing, HubSpot",Google Analytics,14,Senior,FinTech,FinTech
user_46,Professional_46,Healthcare,Product Manager,"SPSS, SQL",SPSS,0,Entry,Leadership,Leadership
user_47,Professional_47,Cybersecurity,ML Engineer,"Penetration Testing, Python, Network Security",Penetration Testing,3,Mid,"Leadership, Startups",Leadership
user_48,Professional_48,Education,Data Scientist,"LMS, Python, Communication, Data Analysis",LMS,19,Senior,EdTech,EdTech
user_49,Professional_49,Healthcare,DevOps Engineer,"R, SPSS, SQL, Health Informatics",R,12,Senior,Blockchain,Blockchain
user_50,Professional_50,Healthcare,DevOps Engineer,"Python, SQL, R",Python,0,Entry,"Open Source, Cloud Computing",Open Source
user_51,Professional_51,Education,Software Engineer,"Communication, Curriculum Design",Communication,4,Mid,EdTech,EdTech
user_52,Professional_52,Technology,Software Engineer,"React, Python, Java, Node.js",React,16,Senior,"AI, Startups",AI
user_53,Professional_53,Design,Product Manager,"CSS, Sketch, HTML, Figma",CSS,4,Mid,"Cloud Computing, Leadership",Cloud Computing
user_54,Professional_54,Data Science,DevOps Engineer,"Statistics, Python",Statistics,5,Mid,"AI, Startups",AI
user_55,Professional_55,Data Science,Product Manager,"SQL, Statistics, R, Python",SQL,14,Senior,"EdTech, Leadership",EdTech
user_56,Professional_56,Education,Backend Developer,"Python, Data Analysis",Python,5,Mid,EdTech,EdTech
user_57,Professional_57,Data Science,Frontend Developer,"Machine Learning, R, Python, Statistics",Machine Learning,2,Entry,Open Source,Open Source
user_58,Professional_58,Marketing,Data Analyst,"Content Marketing, Social Media, SEO",Content Marketing,0,Entry,FinTech,FinTech
user_59,Professional_59,Marketing,Frontend Developer,"Social Media, Google Analytics, HubSpot",Social Media,14,Senior,"FinTech, Blockchain",FinTech
user_60,Professional_60,Technology,Product Manager,"Python, Docker",Python,1,Entry,EdTech,EdTech
user_61,Professional_61,Data Science,Data Analyst,"Python, Machine Learning, TensorFlow",Python,4,Mid,"Leadership, Blockchain",Leadership
user_62,Professional_62,Design,Frontend Developer,"Sketch, HTML",Sketch,8,Senior,Open Source,Open Source
user_63,Professional_63,Healthcare,Backend Developer,"SPSS, Clinical Research",SPSS,12,Senior,"Startups, Blockchain",Startups
user_64,Professional_64,Design,Business Analyst,"Adobe XD, CSS, Illustrator",Adobe XD,7,Mid,AI,AI
user_65,Professional_65,Data Science,Data Scientist,"Statistics, TensorFlow, R",Statistics,14,Senior,Open Source,Open Source
user_66,Professional_66,Finance,Data Scientist,"Python, SQL, Financial Modeling, Bloomberg",Python,14,Senior,Blockchain,Blockchain
user_67,Professional_67,Education,Product Manager,"Python, Curriculum Design",Python,9,Senior,"Open Source, FinTech",Open Source
user_68,Professional_68,Technology,Software Engineer,"Node.js, Python",Node.js,4,Mid,"Open Source, AI",Open Source
user_69,Professional_69,Finance,Product Manager,"Python, SQL, Bloomberg, Financial Modeling",Python,10,Senior,Cloud Computing,Cloud Computing
user_70,Professional_70,Healthcare,Backend Developer,"SPSS, R, Python",SPSS,17,Senior,"Leadership, Blockchain",Leadership
user_71,Professional_71,Data Science,Software Engineer,"Statistics, Machine Learning",Statistics,13,Senior,AI,AI
user_72,Professional_72,Finance,Designer,"Python, Bloomberg, SQL, Tableau",Python,3,Mid,Cloud Computing,Cloud Computing
user_73,Professional_73,Technology,Designer,"Node.js, Docker, React",Node.js,0,Entry,"Cloud Computing, AI",Cloud Computing
user_74,Professional_74,Cybersecurity,DevOps Engineer,"Penetration Testing, Python",Penetration Testing,18,Senior,FinTech,FinTech
user_75,Professional_75,Healthcare,Backend Developer,"Clinical Research, SQL, SPSS",Clinical Research,12,Senior,"Leadership, FinTech",Leadership
user_76,Professional_76,Education,Designer,"Curriculum Design, LMS",Curriculum Design,16,Senior,"Blockchain, Leadership",Blockchain
user_77,Professional_77,Technology,Data Scientist,"Node.js, React, Java, AWS",Node.js,3,Mid,"Cloud Computing, Open Source",Cloud Computing
user_78,Professional_78,Data Science,Frontend Developer,"Statistics, SQL",Statistics,8,Senior,Open Source,Open Source
user_79,Professional_79,Data Science,Data Analyst,"R, TensorFlow, Statistics, Python",R,11,Senior,EdTech,EdTech
user_80,Professional_80,Technology,Software Engineer,"AWS, Python",AWS,16,Senior,Leadership,Leadership
user_81,Professional_81,Education,ML Engineer,"Python, LMS",Python,18,Senior,Cloud Computing,Cloud Computing
user_82,Professional_82,Design,ML Engineer,"Illustrator, CSS, Sketch, HTML",Illustrator,17,Senior,"Startups, EdTech",Startups
user_83,Professional_83,Data Science,Designer,"Python, R",Python,18,Senior,"Startups, Open Source",Startups
user_84,Professional_84,Marketing,ML Engineer,"HubSpot, Google Analytics",HubSpot,7,Mid,"Blockchain, Cloud Computing",Blockchain
user_85,Professional_85,Data Science,ML Engineer,"Statistics, Machine Learning, Python",Statistics,13,Senior,Open Source,Open Source
user_86,Professional_86,Cybersecurity,Product Manager,"Penetration Testing, Network Security",Penetration Testing,14,Senior,Leadership,Leadership
user_87,Professional_87,Education,Designer,"Python, Curriculum Design",Python,1,Entry,FinTech,FinTech
user_88,Professional_88,Design,ML Engineer,"Illustrator, CSS, Sketch, Adobe XD",Illustrator,13,Senior,Blockchain,Blockchain
user_89,Professional_89,Design,Designer,"Sketch, Illustrator, HTML",Sketch,4,Mid,Startups,Startups
user_90,Professional_90,Finance,Software Engineer,"Financial Modeling, Bloomberg",Financial Modeling,9,Senior,"Open Source, EdTech",Open Source
user_91,Professional_91,Marketing,Frontend Developer,"Content Marketing, HubSpot",Content Marketing,13,Senior,"EdTech, FinTech",EdTech
user_92,Professional_92,Education,Product Manager,"Communication, LMS, Python",Communication,10,Senior,"Leadership, FinTech",Leadership
user_93,Professional_93,Data Science,ML Engineer,"SQL, Machine Learning, Python",SQL,3,Mid,Leadership,Leadership
user_94,Professional_94,Healthcare,Data Analyst,"Health Informatics, SPSS",Health Informatics,7,Mid,Open Source,Open Source
user_95,Professional_95,Data Science,Product Manager,"Python, R, SQL, TensorFlow",Python,5,Mid,"Cloud Computing, AI",Cloud Computing
user_96,Professional_96,Marketing,Software Engineer,"Google Analytics, Social Media, HubSpot",Google Analytics,11,Senior,"Blockchain, Cloud Computing",Blockchain
user_97,Professional_97,Cybersecurity,Data Scientist,"Kali Linux, SIEM",Kali Linux,8,Senior,Blockchain,Blockchain
user_98,Professional_98,Design,Backend Developer,"Adobe XD, Illustrator, Figma, Sketch",Adobe XD,15,Senior,"AI, Blockchain",AI
user_99,Professional_99,Data Science,Product Manager,"TensorFlow, Statistics, Python",TensorFlow,2,Entry,"EdTech, Open Source",EdTech
user_100,Professional_100,Finance,Business Analyst,"Python, SQL, Financial Modeling, Bloomberg",Python,12,Senior,"Startups, EdTech",Startups
user_101,Professional_101,Healthcare,Backend Developer,"Python, SQL, Clinical Research",Python,17,Senior,"Open Source, Leadership",Open Source
user_102,Professional_102,Marketing,DevOps Engineer,"HubSpot, Google Analytics",HubSpot,6,Mid,"Blockchain, Cloud Computing",Blockchain
user_103,Professional_103,Cybersecurity,Data Analyst,"Python, Penetration Testing, SIEM",Python,13,Senior,Leadership,Leadership
user_104,Professional_104,Marketing,DevOps Engineer,"SEO, HubSpot, Content Marketing, Google Analytics",SEO,13,Senior,"Blockchain, FinTech",Blockchain
user_105,Professional_105,Education,ML Engineer,"Communication, LMS",Communication,9,Senior,Startups,Startups
user_106,Professional_106,Cybersecurity,Data Scientist,"SIEM, Network Security",SIEM,16,Senior,FinTech,FinTech
user_107,Professional_107,Healthcare,Data Analyst,"Health Informatics, Python, SPSS",Health Informatics,2,Entry,"Startups, FinTech",Startups
user_108,Professional_108,Finance,Frontend Developer,"SQL, Bloomberg, Financial Modeling, Excel",SQL,1,Entry,"Open Source, EdTech",Open Source
user_109,Professional_109,Cybersecurity,Data Scientist,"Network Security, Penetration Testing, Python, SIEM",Network Security,5,Mid,Startups,Startups
user_110,Professional_110,Cybersecurity,Product Manager,"Network Security, Kali Linux, Python",Network Security,12,Senior,Cloud Computing,Cloud Computing
user_111,Professional_111,Cybersecurity,Frontend Developer,"Python, Kali Linux",Python,9,Senior,"Cloud Computing, Leadership",Cloud Computing
user_112,Professional_112,Marketing,Backend Developer,"SEO, Google Analytics",SEO,9,Senior,"AI, EdTech",AI
user_113,Professional_113,Marketing,Business Analyst,"Social Media, SEO, Content Marketing",Social Media,8,Senior,Open Source,Open Source
user_114,Professional_114,Cybersecurity,Data Scientist,"Penetration Testing, SIEM, Kali Linux, Network Security",Penetration Testing,14,Senior,"AI, Startups",AI
user_115,Professional_115,Healthcare,Software Engineer,"SPSS, SQL, R",SPSS,17,Senior,"Cloud Computing, AI",Cloud Computing
user_116,Professional_116,Education,Business Analyst,"Data Analysis, Communication",Data Analysis,14,Senior,"AI, FinTech",AI
user_117,Professional_117,Marketing,Designer,"Google Analytics, HubSpot",Google Analytics,14,Senior,Open Source,Open Source
user_118,Professional_118,Design,Designer,"Illustrator, Adobe XD, Figma",Illustrator,11,Senior,"EdTech, AI",EdTech
user_119,Professional_119,Technology,DevOps Engineer,"AWS, Docker, Node.js, Java",AWS,1,Entry,Open Source,Open Source
user_120,Professional_120,Cybersecurity,ML Engineer,"Python, Penetration Testing, SIEM",Python,7,Mid,FinTech,FinTech
user_121,Professional_121,Cybersecurity,DevOps Engineer,"Kali Linux, Network Security, Python",Kali Linux,13,Senior,Startups,Startups
user_122,Professional_122,Cybersecurity,Frontend Developer,"SIEM, Penetration Testing, Python, Network Security",SIEM,7,Mid,Open Source,Open Source
user_123,Professional_123,Finance,Data Scientist,"Python, Tableau, SQL, Bloomberg",Python,7,Mid,FinTech,FinTech
user_124,Professional_124,Cybersecurity,Data Scientist,"Penetration Testing, Python, Network Security",Penetration Testing,7,Mid,"Leadership, Startups",Leadership
user_125,Professional_125,Marketing,Software Engineer,"Content Marketing, SEO",Content Marketing,1,Entry,"AI, Blockchain",AI
user_126,Professional_126,Finance,Business Analyst,"Excel, SQL",Excel,8,Senior,"Open Source, Startups",Open Source
user_127,Professional_127,Design,Designer,"Figma, CSS, Adobe XD",Figma,2,Entry,EdTech,EdTech
user_128,Professional_128,Data Science,Frontend Developer,"Python, Statistics",Python,3,Mid,AI,AI
user_129,Professional_129,Finance,Product Manager,"Bloomberg, SQL, Tableau",Bloomberg,9,Senior,Blockchain,Blockchain
user_130,Professional_130,Marketing,Backend Developer,"HubSpot, Content Marketing",HubSpot,17,Senior,Open Source,Open Source
user_131,Professional_131,Education,Data Analyst,"Python, Curriculum Design, Data Analysis, Communication",Python,9,Senior,FinTech,FinTech
user_132,Professional_132,Finance,ML Engineer,"Financial Modeling, Bloomberg",Financial Modeling,9,Senior,"Startups, Blockchain",Startups
user_133,Professional_133,Technology,Data Scientist,"React, Docker",React,5,Mid,Leadership,Leadership
user_134,Professional_134,Marketing,Software Engineer,"SEO, Social Media",SEO,13,Senior,"FinTech, Startups",FinTech
user_135,Professional_135,Marketing,Designer,"Content Marketing, Google Analytics, HubSpot, SEO",Content Marketing,19,Senior,"Cloud Computing, FinTech",Cloud Computing
user_136,Professional_136,Technology,ML Engineer,"Docker, Java, Python, React",Docker,17,Senior,"Open Source, Startups",Open Source
user_137,Professional_137,Data Science,Product Manager,"Machine Learning, TensorFlow, Python",Machine Learning,16,Senior,Leadership,Leadership
user_138,Professional_138,Healthcare,Data Analyst,"R, SQL",R,14,Senior,Leadership,Leadership
user_139,Professional_139,Education,Data Analyst,"Data Analysis, Curriculum Design, LMS",Data Analysis,0,Entry,Blockchain,Blockchain
user_140,Professional_140,Finance,Software Engineer,"Excel, Financial Modeling, Tableau, Bloomberg",Excel,17,Senior,Leadership,Leadership
user_141,Professional_141,Education,Software Engineer,"Communication, Curriculum Design",Communication,15,Senior,EdTech,EdTech
user_142,Professional_142,Design,Frontend Developer,"Adobe XD, Sketch",Adobe XD,12,Senior,Open Source,Open Source
user_143,Professional_143,Education,Data Scientist,"Communication, Python, Curriculum Design, Data Analysis",Communication,18,Senior,Cloud Computing,Cloud Computing
user_144,Professional_144,Education,Backend Developer,"LMS, Communication, Curriculum Design, Python",LMS,0,Entry,Open Source,Open Source
user_145,Professional_145,Healthcare,ML Engineer,"SPSS, Clinical Research, SQL",SPSS,2,Entry,Startups,Startups
user_146,Professional_146,Technology,DevOps Engineer,"Java, Python, React",Java,15,Senior,FinTech,FinTech
user_147,Professional_147,Marketing,Business Analyst,"Google Analytics, SEO, Content Marketing, Social Media",Google Analytics,3,Mid,EdTech,EdTech
user_148,Professional_148,Finance,Designer,"Bloomberg, SQL",Bloomberg,2,Entry,"Open Source, Startups",Open Source
user_149,Professional_149,Education,Backend Developer,"Curriculum Design, LMS",Curriculum Design,9,Senior,Blockchain,Blockchain
user_150,Professional_150,Education,Designer,"Python, LMS, Data Analysis",Python,14,Senior,Startups,Startups
user_151,Professional_151,Technology,Backend Developer,"React, Node.js, AWS",React,4,Mid,"Leadership, AI",Leadership
user_152,Professional_152,Finance,Product Manager,"Financial Modeling, Tableau, Python",Financial Modeling,2,Entry,"Blockchain, Startups",Blockchain
user_153,Professional_153,Healthcare,Business Analyst,"SQL, SPSS, Health Informatics, R",SQL,1,Entry,"AI, Blockchain",AI
user_154,Professional_154,Marketing,Business Analyst,"HubSpot, Google Analytics",HubSpot,13,Senior,Leadership,Leadership
user_155,Professional_155,Design,Designer,"CSS, Adobe XD",CSS,0,Entry,EdTech,EdTech
user_156,Professional_156,Marketing,DevOps Engineer,"SEO, Social Media, HubSpot",SEO,2,Entry,"EdTech, Startups",EdTech
user_157,Professional_157,Finance,Business Analyst,"Financial Modeling, Python, Excel",Financial Modeling,14,Senior,Blockchain,Blockchain
user_158,Professional_158,Education,ML Engineer,"Curriculum Design, LMS, Communication, Python",Curriculum Design,4,Mid,"Startups, FinTech",Startups
user_159,Professional_159,Design,Data Scientist,"HTML, Sketch, Adobe XD",HTML,1,Entry,Startups,Startups
user_160,Professional_160,Marketing,Data Analyst,"Google Analytics, Content Marketing, Social Media, HubSpot",Google Analytics,2,Entry,"AI, Leadership",AI
user_161,Professional_161,Healthcare,Data Scientist,"Health Informatics, SPSS, Python, Clinical Research",Health Informatics,14,Senior,AI,AI
user_162,Professional_162,Finance,Data Scientist,"SQL, Bloomberg, Financial Modeling, Python",SQL,1,Entry,FinTech,FinTech
user_163,Professional_163,Finance,Frontend Developer,"Financial Modeling, SQL",Financial Modeling,0,Entry,"Cloud Computing, AI",Cloud Computing
user_164,Professional_164,Technology,Data Scientist,"React, Node.js",React,3,Mid,Cloud Computing,Cloud Computing
user_165,Professional_165,Design,Designer,"Figma, HTML, Adobe XD",Figma,10,Senior,"FinTech, EdTech",FinTech
user_166,Professional_166,Finance,Frontend Developer,"Tableau, Financial Modeling, Excel",Tableau,14,Senior,Leadership,Leadership
user_167,Professional_167,Design,Product Manager,"CSS, Adobe XD, Sketch, HTML",CSS,16,Senior,Startups,Startups
user_168,Professional_168,Finance,DevOps Engineer,"SQL, Excel, Tableau, Python",SQL,13,Senior,AI,AI
user_169,Professional_169,Design,DevOps Engineer,"Figma, Illustrator, Sketch",Figma,6,Mid,Blockchain,Blockchain
user_170,Professional_170,Marketing,Data Analyst,"Google Analytics, Content Marketing",Google Analytics,16,Senior,"Cloud Computing, AI",Cloud Computing
user_171,Professional_171,Finance,Designer,"Financial Modeling, Excel, Python",Financial Modeling,19,Senior,EdTech,EdTech
user_172,Professional_172,Cybersecurity,Software Engineer,"SIEM, Penetration Testing",SIEM,15,Senior,Startups,Startups
user_173,Professional_173,Healthcare,Business Analyst,"SQL, Python, Health Informatics",SQL,12,Senior,Startups,Startups
user_174,Professional_174,Technology,Business Analyst,"AWS, Java, Node.js, React",AWS,16,Senior,Open Source,Open Source
user_175,Professional_175,Data Science,Product Manager,"R, Statistics, TensorFlow, Python",R,7,Mid,"EdTech, FinTech",EdTech
user_176,Professional_176,Finance,Data Analyst,"Python, Bloomberg, Financial Modeling, SQL",Python,8,Senior,Startups,Startups
user_177,Professional_177,Education,ML Engineer,"Communication, LMS, Python",Communication,1,Entry,Leadership,Leadership
user_178,Professional_178,Cybersecurity,Backend Developer,"Network Security, Penetration Testing",Network Security,11,Senior,"FinTech, Blockchain",FinTech
user_179,Professional_179,Design,Business Analyst,"CSS, Adobe XD, Sketch, HTML",CSS,12,Senior,"AI, Cloud Computing",AI
user_180,Professional_180,Design,Data Scientist,"Sketch, Adobe XD, CSS, HTML",Sketch,1,Entry,Open Source,Open Source
user_181,Professional_181,Healthcare,Business Analyst,"Python, Health Informatics",Python,2,Entry,EdTech,EdTech
user_182,Professional_182,Marketing,ML Engineer,"Content Marketing, HubSpot, SEO",Content Marketing,4,Mid,FinTech,FinTech
user_183,Professional_183,Finance,DevOps Engineer,"Financial Modeling, Tableau, Excel",Financial Modeling,12,Senior,AI,AI
user_184,Professional_184,Education,Software Engineer,"Communication, Python, Data Analysis",Communication,19,Senior,Blockchain,Blockchain
user_185,Professional_185,Data Science,Designer,"Statistics, TensorFlow, Python",Statistics,7,Mid,FinTech,FinTech
user_186,Professional_186,Education,Software Engineer,"Python, Data Analysis, LMS, Curriculum Design",Python,4,Mid,"AI, Startups",AI
user_187,Professional_187,Finance,Data Analyst,"SQL, Financial Modeling, Excel, Python",SQL,13,Senior,EdTech,EdTech
user_188,Professional_188,Education,Product Manager,"Data Analysis, Curriculum Design",Data Analysis,0,Entry,"Cloud Computing, Open Source",Cloud Computing
user_189,Professional_189,Healthcare,Frontend Developer,"SQL, SPSS, Python",SQL,19,Senior,"Cloud Computing, AI",Cloud Computing
user_190,Professional_190,Finance,DevOps Engineer,"Python, Excel",Python,12,Senior,Blockchain,Blockchain
user_191,Professional_191,Marketing,Product Manager,"SEO, Social Media",SEO,18,Senior,Open Source,Open Source
user_192,Professional_192,Marketing,Designer,"Content Marketing, SEO, HubSpot",Content Marketing,6,Mid,"EdTech, Leadership",EdTech
user_193,Professional_193,Design,Frontend Developer,"Sketch, Adobe XD, CSS, HTML",Sketch,11,Senior,"AI, FinTech",AI
user_194,Professional_194,Finance,Data Scientist,"Tableau, Python, Bloomberg, Financial Modeling",Tableau,8,Senior,Open Source,Open Source
user_195,Professional_195,Marketing,Designer,"HubSpot, Google Analytics, Social Media",HubSpot,14,Senior,"AI, FinTech",AI
user_196,Professional_196,Cybersecurity,Frontend Developer,"Penetration Testing, SIEM",Penetration Testing,2,Entry,EdTech,EdTech
user_197,Professional_197,Cybersecurity,Frontend Developer,"Penetration Testing, SIEM",Penetration Testing,3,Mid,EdTech,EdTech
user_198,Professional_198,Finance,Backend Developer,"Tableau, Python, SQL, Financial Modeling",Tableau,13,Senior,"Blockchain, Startups",Blockchain
user_199,Professional_199,Cybersecurity,Frontend Developer,"SIEM, Network Security, Penetration Testing",SIEM,6,Mid,"Leadership, AI",Leadership
user_200,Professional_200,Cybersecurity,Product Manager,"Python, Kali Linux, Penetration Testing, SIEM",Python,19,Senior,"AI, Leadership",AI
