name,industry,role,skill,exp_years,exp_level
User_1,Marketing,Business Analyst,Node.js,7,Mid
User_2,Design,Business Analyst,Excel,18,Senior
User_3,Healthcare,Product Manager,AWS,3,Mid
User_4,Healthcare,ML Engineer,Machine Learning,1,Entry
User_5,Marketing,ML Engineer,Figma,1,Entry
User_6,Marketing,Business Analyst,Python,11,Senior
User_7,Finance,ML Engineer,TensorFlow,16,Senior
User_8,Healthcare,Product Manager,Tableau,15,Senior
User_9,Data Science,ML Engineer,React,11,Senior
User_10,Marketing,Backend Developer,Docker,2,Entry
User_11,Design,Product Manager,Excel,8,Senior
User_12,Finance,Designer,Docker,13,Senior
User_13,Finance,Data Scientist,Docker,1,Entry
User_14,Marketing,Designer,TensorFlow,6,Mid
User_15,Marketing,Business Analyst,AWS,14,Senior
User_16,Healthcare,ML Engineer,Python,3,Mid
User_17,Finance,Backend Developer,SQL,1,Entry
User_18,Data Science,ML Engineer,Figma,9,Senior
User_19,Marketing,ML Engineer,Java,11,Senior
User_20,Finance,Data Scientist,SQL,13,Senior
User_21,Data Science,Frontend Developer,TensorFlow,7,Mid
User_22,Design,Backend Developer,Java,14,Senior
User_23,Design,Backend Developer,Tableau,12,Senior
User_24,Technology,Business Analyst,Python,6,Mid
User_25,Technology,Backend Developer,Python,11,Senior
User_26,Healthcare,Product Manager,Python,7,Mid
User_27,Healthcare,Product Manager,Python,4,Mid
User_28,Finance,Frontend Developer,Tableau,8,Senior
User_29,Marketing,Frontend Developer,Docker,7,Mid
User_30,Marketing,Data Scientist,Python,15,Senior
User_31,Data Science,Backend Developer,Machine Learning,2,Entry
User_32,Marketing,Backend Developer,Figma,2,Entry
User_33,Technology,Product Manager,Machine Learning,14,Senior
User_34,Data Science,Product Manager,Python,4,Mid
User_35,Finance,Frontend Developer,Excel,8,Senior
User_36,Finance,Data Scientist,TensorFlow,12,Senior
User_37,Healthcare,Frontend Developer,Excel,16,Senior
User_38,Marketing,Business Analyst,SQL,4,Mid
User_39,Design,Frontend Developer,Node.js,3,Mid
User_40,Design,Backend Developer,Excel,18,Senior
User_41,Data Science,Designer,Java,9,Senior
User_42,Design,ML Engineer,Docker,5,Mid
User_43,Marketing,Designer,TensorFlow,11,Senior
User_44,Marketing,ML Engineer,Node.js,6,Mid
User_45,Data Science,Software Engineer,Python,19,Senior
User_46,Design,Software Engineer,React,6,Mid
User_47,Data Science,Backend Developer,Node.js,8,Senior
User_48,Data Science,Business Analyst,Python,18,Senior
User_49,Finance,Designer,AWS,14,Senior
User_50,Healthcare,ML Engineer,AWS,8,Senior
User_51,Marketing,Software Engineer,Python,19,Senior
User_52,Marketing,ML Engineer,Excel,1,Entry
User_53,Healthcare,Software Engineer,Machine Learning,16,Senior
User_54,Technology,Product Manager,Python,1,Entry
User_55,Finance,Designer,Figma,4,Mid
User_56,Technology,Software Engineer,React,1,Entry
User_57,Design,Designer,Tableau,5,Mid
User_58,Marketing,Frontend Developer,Node.js,16,Senior
User_59,Data Science,Backend Developer,Machine Learning,19,Senior
User_60,Finance,ML Engineer,Figma,10,Senior
User_61,Technology,Software Engineer,TensorFlow,5,Mid
User_62,Design,Product Manager,SQL,3,Mid
User_63,Healthcare,Data Scientist,React,18,Senior
User_64,Marketing,Backend Developer,Excel,19,Senior
User_65,Technology,Software Engineer,AWS,6,Mid
User_66,Finance,Backend Developer,Python,10,Senior
User_67,Marketing,Software Engineer,Docker,17,Senior
User_68,Data Science,Data Scientist,React,6,Mid
User_69,Marketing,Backend Developer,Tableau,15,Senior
User_70,Technology,Designer,TensorFlow,16,Senior
User_71,Finance,Software Engineer,TensorFlow,4,Mid
User_72,Design,Backend Developer,Node.js,8,Senior
User_73,Technology,Product Manager,React,15,Senior
User_74,Healthcare,Designer,AWS,0,Entry
User_75,Marketing,Product Manager,Python,7,Mid
User_76,Marketing,ML Engineer,AWS,19,Senior
User_77,Data Science,Product Manager,Docker,2,Entry
User_78,Technology,Business Analyst,Java,13,Senior
User_79,Finance,Data Scientist,Figma,2,Entry
User_80,Design,Software Engineer,SQL,0,Entry
User_81,Marketing,Software Engineer,Machine Learning,15,Senior
User_82,Marketing,Backend Developer,AWS,6,Mid
User_83,Healthcare,Software Engineer,Python,15,Senior
User_84,Marketing,Product Manager,React,13,Senior
User_85,Data Science,ML Engineer,Figma,12,Senior
User_86,Healthcare,ML Engineer,AWS,1,Entry
User_87,Design,ML Engineer,Python,14,Senior
User_88,Technology,Business Analyst,TensorFlow,15,Senior
User_89,Healthcare,Designer,React,16,Senior
User_90,Technology,Designer,TensorFlow,13,Senior
User_91,Design,ML Engineer,React,8,Senior
User_92,Design,Backend Developer,Python,13,Senior
User_93,Design,Frontend Developer,React,0,Entry
User_94,Marketing,Frontend Developer,Machine Learning,0,Entry
User_95,Healthcare,Backend Developer,Java,9,Senior
User_96,Data Science,Data Scientist,React,7,Mid
User_97,Data Science,Backend Developer,Java,14,Senior
User_98,Data Science,Frontend Developer,Java,9,Senior
User_99,Finance,Data Scientist,Python,7,Mid
User_100,Technology,Software Engineer,Node.js,15,Senior
User_101,Design,Data Scientist,Excel,2,Entry
User_102,Finance,Software Engineer,AWS,12,Senior
User_103,Marketing,Data Scientist,Excel,3,Mid
User_104,Design,Designer,Python,7,Mid
User_105,Data Science,Backend Developer,TensorFlow,18,Senior
User_106,Marketing,Data Scientist,Java,18,Senior
User_107,Technology,Data Scientist,Figma,16,Senior
User_108,Marketing,Data Scientist,Figma,14,Senior
User_109,Data Science,Product Manager,TensorFlow,4,Mid
User_110,Technology,Backend Developer,Machine Learning,11,Senior
User_111,Marketing,Business Analyst,Excel,3,Mid
User_112,Data Science,Business Analyst,SQL,14,Senior
User_113,Healthcare,Frontend Developer,AWS,19,Senior
User_114,Design,Data Scientist,TensorFlow,9,Senior
User_115,Data Science,Product Manager,Python,18,Senior
User_116,Marketing,Data Scientist,Excel,4,Mid
User_117,Finance,Business Analyst,Excel,8,Senior
User_118,Marketing,Business Analyst,Python,0,Entry
User_119,Finance,Backend Developer,Figma,15,Senior
User_120,Technology,Backend Developer,Machine Learning,0,Entry
User_121,Design,Frontend Developer,Machine Learning,2,Entry
User_122,Marketing,Data Scientist,React,4,Mid
User_123,Data Science,Software Engineer,TensorFlow,4,Mid
User_124,Technology,ML Engineer,SQL,4,Mid
User_125,Marketing,Backend Developer,Tableau,15,Senior
User_126,Design,Frontend Developer,SQL,0,Entry
User_127,Data Science,ML Engineer,Machine Learning,9,Senior
User_128,Data Science,Business Analyst,SQL,1,Entry
User_129,Marketing,Frontend Developer,Tableau,18,Senior
User_130,Finance,Backend Developer,Python,4,Mid
User_131,Design,Designer,AWS,15,Senior
User_132,Finance,Software Engineer,TensorFlow,19,Senior
User_133,Marketing,Data Scientist,React,0,Entry
User_134,Technology,Business Analyst,React,10,Senior
User_135,Design,Designer,React,0,Entry
User_136,Technology,Backend Developer,Tableau,10,Senior
User_137,Marketing,Business Analyst,TensorFlow,13,Senior
User_138,Finance,Business Analyst,React,17,Senior
User_139,Healthcare,Frontend Developer,Python,7,Mid
User_140,Design,Data Scientist,Tableau,1,Entry
User_141,Healthcare,Software Engineer,Excel,3,Mid
User_142,Finance,Business Analyst,Java,12,Senior
User_143,Healthcare,Business Analyst,AWS,3,Mid
User_144,Technology,Business Analyst,Docker,3,Mid
User_145,Finance,Business Analyst,Docker,2,Entry
User_146,Technology,Product Manager,SQL,17,Senior
User_147,Technology,Frontend Developer,AWS,4,Mid
User_148,Marketing,Software Engineer,Excel,12,Senior
User_149,Technology,Product Manager,Docker,16,Senior
User_150,Technology,ML Engineer,SQL,15,Senior
User_151,Technology,ML Engineer,Node.js,18,Senior
User_152,Technology,Designer,TensorFlow,8,Senior
User_153,Healthcare,Designer,Docker,6,Mid
User_154,Marketing,ML Engineer,SQL,18,Senior
User_155,Finance,Frontend Developer,Machine Learning,4,Mid
User_156,Healthcare,Designer,Docker,19,Senior
User_157,Healthcare,Business Analyst,SQL,15,Senior
User_158,Technology,Frontend Developer,Machine Learning,9,Senior
User_159,Finance,Frontend Developer,Tableau,4,Mid
User_160,Healthcare,Frontend Developer,Node.js,10,Senior
User_161,Finance,Frontend Developer,TensorFlow,8,Senior
User_162,Finance,Data Scientist,TensorFlow,16,Senior
User_163,Design,ML Engineer,Excel,13,Senior
User_164,Design,Backend Developer,Tableau,8,Senior
User_165,Finance,Product Manager,Tableau,1,Entry
User_166,Design,Business Analyst,Machine Learning,5,Mid
User_167,Healthcare,Backend Developer,Python,19,Senior
User_168,Technology,Frontend Developer,Excel,12,Senior
User_169,Marketing,Designer,Figma,18,Senior
User_170,Design,Designer,Figma,6,Mid
User_171,Healthcare,Data Scientist,Tableau,18,Senior
User_172,Data Science,Product Manager,Java,19,Senior
User_173,Marketing,Backend Developer,Docker,6,Mid
User_174,Technology,Product Manager,TensorFlow,16,Senior
User_175,Technology,Backend Developer,Python,5,Mid
User_176,Design,ML Engineer,Tableau,11,Senior
User_177,Design,Backend Developer,Machine Learning,15,Senior
User_178,Data Science,Business Analyst,Node.js,4,Mid
User_179,Marketing,Product Manager,React,19,Senior
User_180,Technology,Data Scientist,Docker,16,Senior
User_181,Data Science,Frontend Developer,Python,2,Entry
User_182,Technology,Product Manager,TensorFlow,9,Senior
User_183,Data Science,Designer,AWS,7,Mid
User_184,Finance,Designer,SQL,7,Mid
User_185,Finance,Designer,Java,4,Mid
User_186,Technology,Designer,Node.js,16,Senior
User_187,Technology,Software Engineer,Machine Learning,19,Senior
User_188,Design,Designer,React,5,Mid
User_189,Finance,Product Manager,Machine Learning,14,Senior
User_190,Technology,Data Scientist,Tableau,17,Senior
User_191,Healthcare,Business Analyst,Machine Learning,0,Entry
User_192,Data Science,Software Engineer,Java,14,Senior
User_193,Technology,Product Manager,Machine Learning,16,Senior
User_194,Design,Software Engineer,Java,8,Senior
User_195,Healthcare,Frontend Developer,Python,15,Senior
User_196,Data Science,Designer,Python,4,Mid
User_197,Design,ML Engineer,React,4,Mid
User_198,Design,Business Analyst,Tableau,9,Senior
User_199,Healthcare,Software Engineer,Machine Learning,13,Senior
User_200,Technology,ML Engineer,Python,18,Senior
